iteration_frequency,error_pattern_change,time_to_completion,self_evaluation_score,external_feedback_quality,task_complexity_level,engagement_depth,confidence_level,knowledge_transfer_success,consistency_score,abstract_signal_strength,response_latency_variability,intentional_error_flag,revisit_rate,vocabulary_expansion_count,feedback_revision_delay,surprise_tolerance_score,exploratory_task_deviation,self_explanation_count,output_compression_ratio,emotional_consistency_score,curiosity_level,source_model
2,-0.79,78.79,1,1,3,0.5,0.72,0,0.78,0.93,0.33,0,6,8,1137.99,0.41,0.48,2,0.22,0.69,0.11,chatgpt
3,0.33,198.92,5,3,8,0.57,0.3,1,0.88,0.09,0.69,0,3,18,0.0,0.59,0.66,4,0.77,0.86,0.48,chatgpt
20,-0.31,74.68,4,3,2,0.73,0.58,0,0.84,0.81,0.22,0,1,9,216.39,0.27,0.72,0,0.09,0.79,0.34,chatgpt
18,0.87,192.54,1,2,6,0.54,0.41,1,0.48,0.13,0.31,0,6,18,1225.07,0.96,0.73,2,0.74,0.56,0.29,chatgpt
18,0.07,27.54,4,3,1,0.9,0.88,0,0.58,0.32,0.37,0,10,4,321.77,0.77,0.42,4,0.52,0.52,0.68,chatgpt
7,-0.79,267.18,1,3,10,0.4,0.12,0,0.74,0.32,0.82,1,4,7,1162.24,0.38,0.52,8,0.5,0.67,0.36,chatgpt
19,-0.43,82.11,1,2,3,0.48,0.9,1,0.66,0.31,0.99,0,1,8,1164.65,0.85,0.67,5,1.0,0.7,0.44,chatgpt
15,0.26,265.26,2,3,10,0.6,0.01,1,0.53,0.29,0.97,1,0,10,818.92,0.62,0.26,10,0.15,0.51,0.32,chatgpt
7,0.4,148.31,1,1,4,0.58,0.76,1,0.8,0.86,0.73,0,4,5,1151.71,0.26,0.13,4,0.99,0.68,0.45,chatgpt
10,-0.16,189.06,4,2,7,0.37,0.29,1,0.77,0.76,0.39,1,8,9,239.69,0.79,0.54,6,0.28,0.85,0.77,chatgpt
12,-0.81,266.32,3,0,9,0.74,0.34,1,0.62,0.85,0.71,0,7,20,545.23,0.72,0.78,1,0.16,0.58,0.45,chatgpt
15,-0.42,285.12,2,1,8,0.54,0.35,0,0.66,0.22,0.75,0,10,0,862.6,0.79,0.45,4,0.36,0.58,0.13,chatgpt
4,-0.25,62.75,4,1,2,0.47,0.81,0,0.32,0.93,0.1,0,7,5,273.55,0.52,0.82,0,0.95,0.31,0.24,chatgpt
20,-0.32,270.33,4,1,9,0.75,0.33,0,0.81,0.63,0.4,0,0,3,325.91,0.76,0.87,3,0.24,0.76,0.34,chatgpt
19,0.91,167.39,4,0,5,0.77,0.5,1,0.62,0.78,0.86,0,10,12,284.2,0.34,0.36,5,0.28,0.54,0.7,chatgpt
11,-0.98,161.1,1,0,8,0.4,0.47,0,0.78,0.12,0.64,1,8,7,1237.88,0.7,0.62,9,0.02,0.8,0.38,chatgpt
15,-0.45,301.18,1,1,10,0.51,0.1,0,0.92,0.38,1.0,0,6,9,1125.08,0.47,0.41,0,0.57,0.93,0.38,chatgpt
2,0.43,148.39,5,1,6,0.74,0.44,1,0.53,0.41,0.7,1,6,17,104.96,0.42,0.48,9,0.82,0.52,0.32,chatgpt
2,0.04,227.2,5,0,8,0.09,0.29,0,0.84,0.75,0.21,0,10,3,35.07,0.48,0.77,4,0.18,0.88,0.48,chatgpt
0,0.11,107.28,3,0,3,0.44,0.93,1,0.76,0.04,0.58,1,10,5,502.57,0.45,1.0,7,0.09,0.78,0.21,chatgpt
2,0.96,10.0,5,2,1,0.28,0.84,0,0.82,0.36,0.54,0,6,0,58.88,0.79,0.42,0,0.25,0.87,0.23,chatgpt
9,0.32,260.09,4,1,9,0.34,0.35,1,0.93,0.58,0.7,0,8,11,290.67,0.72,0.84,4,0.61,0.95,0.32,chatgpt
3,0.33,167.08,1,1,4,0.14,0.71,0,0.81,0.04,0.14,0,3,4,1100.17,0.46,0.27,1,0.6,0.75,0.59,chatgpt
11,-0.45,297.13,5,3,10,0.15,0.07,1,0.69,0.07,0.25,0,6,20,106.4,0.52,0.26,3,0.9,0.74,0.39,chatgpt
2,0.89,235.55,4,1,8,0.57,0.22,1,0.64,0.54,0.07,0,4,20,233.69,0.76,0.53,1,0.7,0.76,0.71,chatgpt
18,0.31,189.34,5,1,6,0.49,0.65,1,0.61,0.42,0.15,0,6,12,0.0,0.83,0.49,4,0.03,0.61,0.33,chatgpt
2,-0.46,141.93,5,0,4,0.43,0.75,0,0.69,0.68,0.41,0,5,20,0.0,0.92,0.36,2,0.09,0.7,0.57,chatgpt
4,0.74,127.65,2,2,5,0.14,0.65,1,0.84,0.01,0.38,0,3,12,900.66,0.76,0.76,0,0.95,0.76,0.13,chatgpt
16,0.46,94.25,3,3,3,0.36,0.82,1,0.73,0.1,0.35,0,9,9,531.87,0.87,0.43,4,0.55,0.69,0.47,chatgpt
1,-0.66,11.99,4,1,2,0.43,0.73,1,0.89,0.35,0.74,0,8,17,259.31,0.93,0.52,3,0.59,0.93,0.83,chatgpt
18,-0.74,257.95,1,1,8,0.67,0.46,1,0.91,0.66,0.14,0,9,8,1116.64,0.87,0.3,5,0.05,0.86,0.23,chatgpt
7,0.36,195.29,4,3,6,0.56,0.56,1,0.84,0.18,0.99,0,7,16,326.75,0.65,0.4,3,0.29,0.76,0.5,chatgpt
7,-0.39,252.33,1,2,9,0.51,0.24,1,0.53,0.41,0.31,0,1,20,1099.08,0.66,0.44,5,0.08,0.52,0.95,chatgpt
2,-0.67,144.46,1,0,4,0.72,0.82,1,0.64,0.74,0.55,0,7,0,1090.43,0.52,0.19,3,0.96,0.62,0.53,chatgpt
4,-0.04,246.23,5,0,9,0.41,0.21,0,0.83,0.41,0.62,0,0,13,90.31,0.85,0.68,5,0.7,0.94,0.73,chatgpt
7,0.99,156.68,5,0,6,0.29,0.47,1,0.37,0.61,0.96,0,10,16,0.0,0.54,0.81,1,0.9,0.34,0.55,chatgpt
11,0.68,94.87,5,2,2,0.19,1.0,0,0.47,0.95,0.42,0,6,5,53.48,0.32,0.69,0,0.37,0.47,0.32,chatgpt
7,0.66,207.83,1,2,6,0.62,0.48,0,0.95,0.3,0.29,0,3,0,1131.23,0.41,0.67,4,0.74,1.0,0.84,chatgpt
6,0.85,208.52,5,0,7,0.1,0.45,1,0.85,0.94,0.89,1,7,1,18.53,0.79,0.22,9,0.36,0.84,0.43,chatgpt
10,-0.4,291.38,1,0,8,0.38,0.31,1,0.77,0.35,0.72,0,6,11,1152.29,0.84,0.41,3,0.01,0.8,0.21,chatgpt
6,-0.83,218.4,5,1,8,0.39,0.34,1,0.73,0.41,0.91,1,0,4,0.0,0.49,0.35,7,0.77,0.71,0.35,chatgpt
15,-0.21,94.7,3,2,4,0.59,0.66,0,0.96,0.43,0.18,0,4,3,613.32,0.73,0.55,5,0.99,0.95,0.51,chatgpt
5,-0.72,246.87,4,0,8,0.21,0.47,0,0.76,0.36,0.87,0,3,3,315.05,0.91,0.58,0,0.19,0.77,0.28,chatgpt
12,-0.16,78.89,3,0,3,0.32,0.78,1,0.32,0.16,0.2,0,7,8,500.72,0.33,0.35,3,0.12,0.41,0.14,chatgpt
15,0.6,243.67,2,2,9,0.37,0.27,1,0.63,0.75,0.78,0,6,16,881.23,0.51,0.62,5,0.73,0.63,0.93,chatgpt
4,-0.78,217.99,1,0,7,0.31,0.43,0,0.65,0.13,0.34,0,0,7,1128.92,0.7,0.84,2,0.05,0.61,0.72,chatgpt
19,0.47,181.94,4,3,7,0.37,0.5,1,0.85,0.29,0.49,0,6,7,344.3,0.8,0.59,5,0.62,0.91,0.42,chatgpt
5,-0.5,266.29,1,2,9,0.14,0.11,0,0.82,0.99,0.25,1,6,6,1192.88,0.35,0.75,5,0.47,0.9,0.08,chatgpt
19,-0.64,270.94,5,1,9,0.51,0.27,1,0.62,0.23,0.13,0,0,8,0.0,0.78,0.38,1,0.99,0.56,0.87,chatgpt
0,0.23,182.66,1,0,7,0.92,0.37,1,0.44,0.38,0.52,0,10,7,1155.74,0.65,0.49,3,0.22,0.43,0.7,chatgpt
1,0.02,187.78,1,2,8,0.4,0.28,0,0.85,0.11,0.36,0,5,13,1096.19,0.62,0.27,0,0.25,0.84,0.53,chatgpt
1,-1.0,70.26,3,1,3,0.09,0.72,0,0.52,0.29,0.28,1,9,3,615.31,0.85,0.42,7,0.43,0.49,0.19,chatgpt
11,-0.33,225.88,1,0,8,0.4,0.39,0,0.8,0.67,0.68,0,2,10,1169.35,0.29,0.61,2,0.36,0.81,0.2,chatgpt
16,0.21,305.88,2,2,10,0.7,0.22,1,0.86,0.21,0.38,0,1,4,899.86,0.54,0.57,4,0.63,0.85,0.2,chatgpt
1,0.17,145.19,2,1,2,0.53,0.87,1,0.8,0.7,0.93,0,1,17,970.68,0.84,0.98,2,0.62,0.75,0.66,chatgpt
6,0.07,221.9,2,0,8,0.25,0.38,1,0.47,0.13,0.42,0,4,17,797.19,0.63,0.7,2,0.98,0.36,0.93,chatgpt
20,0.43,281.35,4,0,8,0.71,0.44,1,0.59,0.48,0.52,0,8,0,294.4,0.57,0.59,2,0.17,0.46,0.41,chatgpt
9,-0.91,101.68,5,0,3,0.35,0.81,0,0.72,0.79,0.69,1,6,15,11.93,0.91,0.71,9,0.68,0.76,0.19,chatgpt
5,-0.12,43.98,5,3,2,0.46,0.95,1,0.83,0.56,0.39,1,9,8,0.0,0.79,0.56,5,0.21,0.93,0.45,chatgpt
18,-0.56,129.23,1,3,3,0.46,0.62,1,0.77,0.5,0.72,0,4,9,1135.73,0.78,0.2,2,0.85,0.81,0.6,chatgpt
17,-0.76,128.62,2,0,5,0.69,0.58,0,0.73,0.53,0.29,0,10,4,796.62,0.6,0.84,2,0.94,0.82,0.47,chatgpt
8,0.75,58.89,1,1,3,0.34,0.74,0,0.95,0.99,0.21,0,1,0,1168.28,0.64,0.39,5,0.65,0.89,0.89,chatgpt
11,-0.35,297.65,5,2,10,0.62,0.15,0,0.38,0.72,0.41,0,9,9,24.24,0.84,0.56,0,0.32,0.3,0.5,chatgpt
11,-0.56,10.0,3,1,1,0.74,0.9,1,0.63,0.26,0.02,0,10,18,647.62,0.99,0.38,5,0.11,0.58,0.71,chatgpt
20,-0.49,230.17,5,1,7,0.48,0.46,1,0.72,0.82,0.22,0,4,6,55.26,0.61,0.62,3,0.58,0.74,0.82,chatgpt
14,-0.54,94.77,4,2,3,0.69,0.65,1,0.55,0.15,0.48,0,7,5,195.33,0.73,0.53,1,0.46,0.54,0.43,chatgpt
18,-0.02,119.93,2,2,4,0.71,0.71,1,0.5,0.02,0.16,0,2,12,898.1,0.95,0.65,1,0.69,0.58,0.75,chatgpt
4,-0.86,55.58,2,3,2,0.4,0.86,1,0.68,0.91,0.97,0,1,16,852.18,0.61,0.94,0,0.14,0.68,0.81,chatgpt
3,-0.24,317.8,1,0,10,0.82,0.11,1,0.78,0.83,0.76,0,10,1,1153.23,0.56,0.61,0,0.13,0.86,0.63,chatgpt
4,0.88,177.05,5,0,5,0.38,0.56,0,0.75,0.79,0.01,0,1,17,0.0,0.59,0.5,2,0.74,0.8,0.48,chatgpt
6,-0.72,87.97,5,3,2,0.47,0.85,1,0.81,0.82,0.31,1,7,4,0.0,0.79,0.35,9,0.24,0.92,0.35,chatgpt
20,0.09,145.72,1,0,5,0.57,0.57,1,0.75,0.1,0.3,0,8,13,1156.15,0.82,0.58,1,0.14,0.73,0.66,chatgpt
7,-0.15,49.51,2,2,1,0.48,1.0,1,0.56,0.66,0.23,0,10,12,961.34,0.68,0.49,5,0.69,0.56,0.9,chatgpt
15,-0.66,74.63,1,1,2,0.84,0.99,0,0.68,0.1,0.96,0,5,2,1175.92,0.64,0.11,0,0.62,0.69,0.62,chatgpt
2,0.79,227.25,5,1,6,0.52,0.4,1,0.84,0.18,0.53,1,9,5,29.46,0.31,0.36,6,0.68,0.76,0.72,chatgpt
19,0.64,174.64,3,0,5,0.39,0.57,0,0.77,0.27,0.5,0,5,8,543.03,0.76,0.26,5,0.81,0.74,0.35,chatgpt
0,0.72,62.21,2,1,2,0.49,0.93,0,0.37,0.32,0.39,0,7,2,858.26,0.68,0.61,3,0.11,0.41,0.82,chatgpt
4,-0.82,158.66,2,1,5,0.89,0.59,1,0.75,0.77,0.35,1,7,13,855.57,0.42,0.41,8,0.48,0.87,0.11,chatgpt
20,-0.33,278.85,2,3,10,0.23,0.11,1,0.71,0.42,0.5,0,8,15,892.77,0.55,0.95,1,0.53,0.75,0.31,chatgpt
2,0.16,216.99,4,1,7,0.41,0.5,0,0.79,0.7,0.24,1,0,6,295.93,0.28,0.51,5,0.99,0.83,0.06,chatgpt
17,-0.05,164.4,2,0,6,0.26,0.34,0,0.64,0.06,0.35,0,2,9,934.69,0.52,0.98,4,0.46,0.64,0.4,chatgpt
7,-0.58,182.93,2,0,7,0.13,0.59,1,0.67,0.75,0.12,0,2,12,798.22,0.37,0.8,5,0.73,0.76,0.37,chatgpt
11,-0.89,139.42,1,0,7,0.66,0.5,1,0.68,0.48,0.59,0,2,0,1150.71,0.93,0.58,1,0.15,0.68,0.56,chatgpt
7,-0.85,41.01,5,3,2,0.71,0.85,1,0.79,0.15,0.18,0,2,16,63.06,0.53,0.79,2,0.7,0.81,0.54,chatgpt
13,0.45,209.92,4,0,8,0.62,0.24,0,0.48,0.29,0.16,0,10,1,323.75,0.31,0.28,1,0.6,0.37,0.44,chatgpt
5,-0.98,239.26,4,3,9,0.65,0.16,1,0.75,0.55,0.83,0,9,16,245.55,0.24,0.32,1,0.31,0.65,0.94,chatgpt
5,-0.46,227.89,1,3,7,0.42,0.49,0,0.45,0.98,0.13,0,3,12,1189.72,0.32,0.25,1,0.62,0.52,0.67,chatgpt
5,0.65,206.33,5,0,7,0.54,0.52,1,0.63,0.82,0.47,0,5,20,0.0,0.48,1.0,3,0.64,0.61,0.3,chatgpt
1,0.61,69.98,4,1,3,0.5,0.75,1,0.64,0.27,0.1,1,5,19,263.01,0.86,0.63,7,0.78,0.62,0.86,chatgpt
7,-0.44,10.0,5,0,1,0.79,0.98,1,0.68,0.07,0.6,0,4,6,0.0,0.47,0.38,5,0.55,0.73,0.46,chatgpt
7,-0.46,38.5,5,0,1,0.95,0.89,0,0.75,0.56,0.79,0,0,1,0.0,0.73,0.94,2,0.31,0.77,0.36,chatgpt
11,0.5,60.89,4,1,1,0.16,1.0,1,0.77,0.31,0.39,0,5,4,332.65,0.67,0.41,0,0.7,0.7,0.44,chatgpt
13,0.79,158.79,5,0,6,0.9,0.42,0,0.84,0.5,0.78,0,0,18,43.8,0.54,0.59,3,0.8,0.87,0.45,chatgpt
1,-0.42,262.55,2,3,10,0.41,0.18,1,0.86,0.08,0.63,0,3,6,851.52,0.78,0.64,5,0.81,0.77,0.85,chatgpt
5,0.99,85.89,5,2,3,0.47,0.97,1,0.96,0.45,0.13,0,4,11,0.0,0.54,0.67,3,0.62,1.0,0.06,chatgpt
12,-0.52,61.02,5,0,1,0.17,0.89,1,0.87,0.96,0.57,0,7,3,113.77,0.8,0.27,1,0.8,0.87,0.49,chatgpt
17,0.74,144.52,1,3,5,0.61,0.56,1,0.94,0.09,0.31,0,4,5,1060.64,0.4,0.35,4,0.07,0.88,0.18,chatgpt
11,-0.82,184.64,2,3,6,0.47,0.43,0,0.72,0.26,0.47,0,4,14,909.11,0.73,0.4,1,0.65,0.76,0.58,chatgpt
18,-0.02,31.22,3,2,2,0.74,0.97,0,0.66,0.4,0.86,0,10,4,570.76,0.4,0.75,4,0.44,0.57,0.32,chatgpt
10,-0.25,272.35,4,3,10,0.67,0.23,1,0.49,0.26,0.88,0,10,1,361.13,0.52,0.65,5,0.62,0.48,0.46,chatgpt
7,0.4,12.58,5,0,1,0.76,1.0,0,0.68,0.15,0.11,1,6,5,26.52,0.39,0.34,5,0.57,0.71,0.07,chatgpt
12,0.75,109.33,1,2,4,0.13,0.58,1,0.98,0.47,0.64,0,7,3,1099.3,0.86,0.23,5,0.09,1.0,0.5,chatgpt
12,0.54,90.73,2,3,2,0.24,0.77,0,0.8,0.33,0.32,0,9,15,766.92,0.71,0.71,5,0.21,0.83,0.37,chatgpt
3,-0.44,192.0,1,1,8,0.57,0.35,0,0.85,0.95,0.15,0,3,10,1171.77,0.57,0.46,4,0.57,0.92,0.38,chatgpt
1,0.87,200.25,3,3,7,0.11,0.54,0,0.87,0.98,0.21,0,3,0,631.92,0.91,0.32,5,0.95,0.87,0.59,chatgpt
8,-0.5,226.09,2,0,7,0.5,0.15,1,0.68,0.14,0.27,0,1,9,847.94,0.68,0.38,3,0.87,0.72,0.86,chatgpt
16,-0.57,231.37,3,1,7,0.47,0.34,0,0.7,0.83,0.09,0,6,10,635.03,0.43,0.82,2,0.96,0.65,0.73,chatgpt
6,-0.3,65.03,4,3,3,0.06,0.63,0,0.77,0.48,0.69,0,2,13,312.41,0.46,0.5,5,0.35,0.74,0.24,chatgpt
12,0.65,344.78,5,1,10,0.36,0.24,1,0.82,0.08,0.67,0,9,4,10.82,0.78,0.27,5,0.32,0.9,0.2,chatgpt
0,-0.7,173.69,4,1,6,0.53,0.4,1,0.63,0.5,0.32,0,10,13,249.54,0.73,0.31,5,0.26,0.64,0.46,chatgpt
14,0.89,82.95,2,3,1,0.19,0.88,1,0.77,0.64,0.58,1,0,6,802.78,0.85,0.33,6,0.75,0.74,0.68,chatgpt
17,0.55,195.52,5,3,7,0.18,0.4,1,0.54,0.22,0.21,1,3,18,5.85,0.35,0.33,7,0.96,0.54,0.74,chatgpt
0,-0.4,209.97,3,0,6,0.34,0.54,0,0.98,0.7,0.65,0,7,13,569.09,0.48,0.27,2,0.41,0.97,0.83,chatgpt
13,0.05,258.71,3,0,9,0.55,0.26,0,0.63,0.93,0.46,0,5,5,532.11,0.45,0.19,1,0.55,0.63,0.2,chatgpt
13,-0.24,236.37,4,2,9,0.57,0.09,1,0.83,0.7,0.94,1,1,2,259.5,0.18,0.53,5,0.81,0.79,0.84,chatgpt
20,-0.97,71.65,4,0,2,0.82,0.83,1,0.62,0.5,0.75,1,8,3,316.0,0.6,0.53,9,0.63,0.64,0.43,chatgpt
1,0.34,293.51,4,1,10,0.82,0.09,1,0.5,0.22,0.45,0,6,3,280.51,0.73,0.29,3,0.2,0.54,0.87,chatgpt
11,0.94,64.61,4,3,2,0.22,0.78,0,0.75,0.91,0.64,0,6,0,324.6,0.72,0.42,1,0.94,0.83,0.7,chatgpt
9,-0.46,261.65,3,2,9,0.49,0.11,1,0.69,0.84,0.8,0,6,7,645.04,0.7,0.33,3,0.0,0.7,0.79,chatgpt
0,-0.95,10.0,3,2,1,0.46,1.0,0,0.61,0.34,0.96,1,6,7,575.91,0.92,0.94,8,0.56,0.61,0.39,chatgpt
19,0.29,135.25,1,3,4,0.52,0.74,0,0.69,0.13,0.64,0,2,12,1130.08,0.72,0.79,4,0.9,0.8,0.57,chatgpt
13,-0.54,138.58,2,0,3,0.17,0.64,1,0.65,0.63,0.78,0,10,8,874.96,0.41,0.42,1,0.84,0.71,0.45,chatgpt
6,-0.81,207.69,1,3,6,0.94,0.38,0,0.67,0.01,0.77,0,2,0,1103.74,0.39,0.42,4,0.62,0.61,0.59,chatgpt
18,-0.24,42.87,2,3,2,0.24,0.59,1,0.48,0.63,0.78,0,2,7,805.9,0.42,0.55,1,0.65,0.53,0.22,chatgpt
6,0.07,144.33,2,3,5,0.88,0.5,0,0.82,0.77,0.66,0,4,2,899.59,0.37,0.17,5,0.93,0.76,0.84,chatgpt
20,0.97,40.51,1,0,1,0.85,0.95,1,0.8,0.46,0.6,0,1,4,1122.92,0.13,0.48,1,0.28,0.81,0.41,chatgpt
2,-0.01,10.0,3,1,2,0.39,0.86,0,0.88,0.39,0.49,0,0,13,652.33,0.42,0.35,5,0.07,0.87,0.39,chatgpt
6,0.37,52.16,4,2,2,0.45,0.95,1,0.85,0.63,0.45,0,2,5,140.63,0.98,0.64,1,0.3,0.85,0.79,chatgpt
20,0.21,302.0,1,0,10,0.85,0.13,1,0.68,0.98,0.99,0,7,19,1023.46,0.51,0.69,0,0.6,0.75,0.75,chatgpt
16,0.48,82.95,1,1,3,0.37,0.73,0,0.83,0.61,0.54,0,8,16,1130.66,0.79,0.34,1,0.76,0.78,0.73,chatgpt
3,0.8,155.67,1,2,6,0.57,0.57,0,0.77,0.14,0.08,1,2,8,1177.5,0.85,0.53,6,0.27,0.76,0.56,chatgpt
11,0.42,105.79,3,3,2,0.19,0.98,0,0.83,0.75,0.5,0,8,12,579.73,0.73,0.58,2,0.92,0.77,0.53,chatgpt
6,0.37,79.31,3,3,3,0.74,0.76,1,0.86,0.1,0.79,0,9,9,609.64,0.46,0.35,1,0.17,0.9,0.22,chatgpt
13,0.77,246.86,4,2,8,0.6,0.32,0,0.59,0.82,0.62,0,9,12,271.54,0.41,0.71,4,0.43,0.57,0.22,chatgpt
11,0.8,157.42,1,3,6,0.35,0.58,1,0.58,0.17,0.03,1,8,8,1188.93,0.64,0.48,7,0.59,0.56,0.54,chatgpt
20,0.9,254.26,5,2,10,0.5,0.16,1,0.84,0.4,0.11,1,5,13,125.68,0.49,0.5,7,0.79,0.8,0.34,chatgpt
2,-0.57,81.23,3,2,4,0.45,0.63,1,0.74,0.15,0.31,0,0,10,464.17,0.67,0.4,5,0.69,0.75,0.26,chatgpt
6,-0.07,189.89,3,1,6,0.76,0.57,1,0.9,0.56,0.39,0,9,6,572.85,0.29,0.51,0,0.53,0.95,0.59,chatgpt
8,0.43,308.72,1,3,9,0.48,0.38,0,0.74,0.68,0.44,1,5,6,1169.87,0.49,0.44,8,0.2,0.71,0.82,chatgpt
1,0.98,195.62,4,0,8,0.31,0.32,1,0.76,0.12,0.17,1,5,18,258.08,0.74,0.58,9,0.38,0.8,0.68,chatgpt
9,-0.96,75.36,5,0,1,0.78,0.82,0,0.77,0.91,0.28,1,6,1,0.0,0.55,0.75,9,0.9,0.84,0.42,chatgpt
10,0.29,10.0,1,3,1,0.29,0.85,1,0.4,0.1,0.8,0,4,8,1165.54,0.49,0.68,2,0.32,0.41,0.26,chatgpt
2,0.11,243.31,3,3,7,0.59,0.29,1,0.86,0.61,0.39,0,7,15,570.9,0.61,0.48,0,0.85,0.81,0.11,chatgpt
19,-0.79,235.25,2,0,6,0.74,0.44,0,0.65,0.83,0.14,0,5,13,852.27,0.56,0.64,0,0.23,0.68,0.45,chatgpt
11,0.63,102.5,5,0,4,0.41,0.55,0,0.58,0.93,0.87,0,4,1,23.92,0.5,0.25,2,0.11,0.61,0.19,chatgpt
8,-0.34,94.67,5,3,2,0.66,0.8,1,0.83,0.27,0.17,0,2,18,95.75,0.57,0.74,1,0.46,0.75,0.27,chatgpt
4,0.51,147.86,4,3,6,0.5,0.34,1,0.8,0.67,0.52,1,3,18,323.19,0.45,0.28,8,0.48,0.83,0.62,chatgpt
10,0.55,126.64,4,1,5,0.34,0.53,0,0.83,0.09,0.77,0,1,11,303.35,0.49,0.29,1,0.56,0.84,0.17,chatgpt
2,-0.85,73.16,4,0,4,0.43,0.64,1,0.74,0.21,0.67,0,7,12,231.25,0.38,0.76,0,0.19,0.71,0.68,chatgpt
6,0.63,188.3,5,2,6,0.34,0.51,1,0.76,0.76,0.31,1,7,20,21.67,0.74,0.09,9,0.15,0.8,0.47,chatgpt
4,-0.56,26.76,3,3,2,0.47,0.84,0,0.83,0.98,0.87,0,8,6,609.89,0.85,0.82,1,0.78,0.82,0.96,chatgpt
8,-0.15,43.29,3,0,2,0.2,0.74,0,0.63,0.15,0.88,0,1,7,547.56,0.61,0.46,3,0.02,0.6,0.71,chatgpt
8,-0.94,113.28,5,3,3,0.6,0.54,1,0.54,0.35,0.12,0,8,2,0.0,0.8,0.91,1,0.35,0.64,0.29,chatgpt
12,0.0,109.17,5,2,3,0.48,0.71,0,0.99,0.05,0.27,0,1,1,0.0,0.88,0.35,5,0.65,1.0,0.34,chatgpt
6,-0.41,205.5,4,1,7,0.31,0.48,1,0.93,0.59,0.53,0,7,16,313.38,0.45,0.72,5,0.43,0.94,0.54,chatgpt
20,-0.5,10.0,1,1,1,0.47,1.0,1,0.96,0.12,0.9,0,9,8,1202.87,0.69,0.29,4,0.24,1.0,0.45,chatgpt
8,-0.55,107.79,5,3,2,0.41,0.6,1,0.81,0.39,0.1,0,4,15,0.0,0.85,0.19,1,0.21,0.77,0.82,chatgpt
20,-0.42,156.95,5,2,6,0.59,0.66,1,0.77,0.73,0.09,0,8,19,7.83,0.69,0.59,2,0.48,0.76,0.57,chatgpt
5,-0.37,120.54,1,1,4,0.69,0.63,0,0.86,0.19,0.9,0,2,0,1140.68,0.45,0.47,3,0.67,0.86,0.62,chatgpt
0,-0.64,130.03,3,0,6,0.79,0.62,1,0.78,0.17,0.76,0,0,19,555.36,0.52,0.69,3,0.35,0.84,0.34,chatgpt
0,-0.02,306.37,2,3,10,0.62,0.27,1,0.61,0.11,0.82,1,9,9,861.11,0.82,0.66,9,0.84,0.64,0.88,chatgpt
5,0.51,295.41,1,0,9,0.72,0.26,0,0.56,0.3,0.74,0,7,15,1187.27,0.27,0.14,4,0.73,0.57,0.38,chatgpt
15,-0.49,177.22,4,0,5,0.63,0.46,0,0.64,0.83,0.3,0,5,16,266.47,0.64,0.36,4,0.77,0.56,0.75,chatgpt
3,-0.46,244.2,5,0,8,0.1,0.3,0,0.67,0.15,0.41,0,3,4,21.28,0.75,0.5,0,0.36,0.66,0.59,chatgpt
18,0.48,131.59,4,2,4,0.38,0.68,1,0.82,0.21,0.09,0,6,20,417.36,0.6,0.79,2,0.11,0.76,0.56,chatgpt
14,0.97,297.83,5,1,9,0.41,0.21,1,0.77,0.27,0.68,1,5,12,0.0,0.61,0.3,7,0.59,0.81,0.16,chatgpt
6,-0.92,185.96,5,2,5,0.62,0.56,1,0.91,0.83,0.12,0,7,18,0.0,0.69,0.62,2,0.97,0.98,0.54,chatgpt
3,0.94,154.09,4,1,5,0.23,0.73,1,0.74,0.47,0.15,1,4,19,165.05,0.8,0.23,6,0.56,0.75,0.25,chatgpt
15,-0.42,131.62,3,0,5,0.11,0.41,0,0.33,0.45,0.22,0,9,3,519.03,0.54,0.59,2,0.05,0.39,0.59,chatgpt
13,-0.3,15.24,1,0,1,0.58,0.92,1,0.69,0.25,0.35,0,4,16,1126.81,0.07,0.61,4,0.67,0.7,0.53,chatgpt
2,0.43,69.11,2,1,3,0.72,0.76,1,0.64,0.43,0.92,0,4,7,833.65,0.51,0.28,2,0.03,0.64,0.53,chatgpt
20,-0.23,160.67,4,0,4,0.32,0.75,1,0.67,0.89,0.92,0,9,9,301.01,0.79,0.84,3,0.17,0.7,0.34,chatgpt
18,-0.72,170.66,2,2,6,0.28,0.47,0,0.97,0.14,0.55,0,4,9,829.03,0.57,0.59,4,0.09,1.0,0.71,chatgpt
17,-0.63,220.14,4,0,8,0.69,0.3,1,0.49,0.14,0.44,0,5,16,294.43,0.7,0.17,5,0.93,0.48,0.79,chatgpt
14,-0.29,170.3,4,3,6,0.23,0.41,0,0.82,0.96,0.46,1,8,0,220.23,0.42,0.5,8,0.96,0.76,0.45,chatgpt
4,0.23,24.56,3,1,2,0.44,0.72,0,0.88,0.58,0.37,0,9,17,668.02,0.67,0.7,2,0.9,0.9,0.04,chatgpt
12,-0.75,46.17,1,3,1,0.57,0.9,1,0.53,0.81,0.87,0,7,1,1045.48,0.78,0.67,2,0.08,0.58,0.48,chatgpt
10,0.19,67.76,3,3,2,0.81,0.8,0,0.88,0.69,0.86,1,1,18,545.94,0.86,0.43,10,0.67,0.89,0.3,chatgpt
6,0.03,75.5,5,3,1,0.65,0.98,1,0.78,0.14,0.9,0,10,4,27.28,0.51,0.53,2,0.3,0.83,0.57,chatgpt
