```
user_id,task_id,task_complexity,time_to_completion,confidence_level,engagement_depth,vocabulary_expansion_count,knowledge_transfer_success,practice_repetitions,feedback_revision_delay,attention_span_duration,distraction_count,motivation_level,prior_knowledge_level,learning_rate,retention_rate,application_success_rate,problem_solving_efficiency,creativity_score,surprise_tolerance_score,self_evaluation_score,emotional_consistency_score,curiosity_score,consistency_score,intentional_error_flag,self_explanation_count
152,152,0.3,15.1,0.95,0.95,17,0.95,2,1.1,33.0,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
153,153,0.7,37.2,0.65,0.7,11,0.75,5,3.0,26.2,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
154,154,0.5,25.9,0.85,0.85,14,0.85,3,1.7,31.0,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
155,155,0.9,49.9,0.55,0.65,9,0.65,6,4.0,23.2,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
156,156,0.4,20.8,0.9,0.9,16,0.9,2,1.4,31.0,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
157,157,0.6,32.1,0.75,0.7,12,0.75,4,2.5,25.9,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
158,158,0.8,44.9,0.6,0.65,10,0.65,5,3.4,24.5,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
159,159,0.3,15.0,0.95,0.95,17,0.95,2,1.1,32.9,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
160,160,0.7,37.1,0.65,0.7,11,0.75,5,3.0,26.3,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
161,161,0.5,26.0,0.85,0.85,14,0.85,3,1.7,31.1,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
162,162,0.9,50.0,0.55,0.65,9,0.65,6,4.0,23.3,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
163,163,0.4,20.9,0.9,0.9,16,0.9,2,1.4,30.9,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
164,164,0.6,32.0,0.75,0.7,12,0.75,4,2.5,26.0,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
165,165,0.8,45.0,0.6,0.65,10,0.65,5,3.4,24.6,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
166,166,0.3,14.9,0.95,0.95,17,0.95,2,1.1,32.8,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
167,167,0.7,37.0,0.65,0.7,11,0.75,5,3.0,26.4,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
168,168,0.5,26.1,0.85,0.85,14,0.85,3,1.7,31.2,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
169,169,0.9,50.1,0.55,0.65,9,0.65,6,4.0,23.4,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
170,170,0.4,21.0,0.9,0.9,16,0.9,2,1.4,30.8,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
171,171,0.6,31.9,0.75,0.7,12,0.75,4,2.5,26.1,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
172,172,0.8,45.1,0.6,0.65,10,0.65,5,3.4,24.7,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
173,173,0.3,14.8,0.95,0.95,17,0.95,2,1.1,32.7,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
174,174,0.7,36.9,0.65,0.7,11,0.75,5,3.0,26.5,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
175,175,0.5,26.2,0.85,0.85,14,0.85,3,1.7,31.3,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
176,176,0.9,50.2,0.55,0.65,9,0.65,6,4.0,23.5,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
177,177,0.4,21.1,0.9,0.9,16,0.9,2,1.4,30.7,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
178,178,0.6,31.8,0.75,0.7,12,0.75,4,2.5,26.2,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
179,179,0.8,45.2,0.6,0.65,10,0.65,5,3.4,24.8,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
